AREA|CODE
Columbia Falls, ME|20467
Columbia Falls, MT|12904
Columbia Heights, MN|1618
Columbia Township, PA|7856
Columbia, AL|16285
Columbia, CA|9648
Columbia, CT|4325
Columbia, IA|15515
Columbia, IL|13417
Columbia, KY|13441
Columbia, MD|231
Columbia, ME|19832
Columbia, MO|11844
Columbia, MS|13628
Columbia, NC|6549
Columbia, NH|19528
Columbia, NY|15422
Columbia, PA|2839
Columbia, SC|142
Columbia, TN|12073
Columbia, VA|16472
Columbiana, AL|3531
Columbiana, OH|3614
Columbiaville, MI|14781
Columbine Valley, CO|8480
Columbine, CO|1378
Columbus City, IA|22103
Columbus Grove, OH|4102
Columbus Junction, IA|23833
Columbus, GA|11777
Columbus, IL|23670
Columbus, IN|11978
Columbus, KS|14033
Columbus, KY|22699
Columbus, MI|16014
Columbus, MN|5193
Columbus, MS|12055
Columbus, MT|24571
Columbus, NC|13214
Columbus, NE|1631
Columbus, NY|7348
Columbus, OH|11
Columbus, PA|22189
Columbus, TX|13955
Columbus, WI|8989
Colusa, CA|3480
Colver, PA|19342
Colville, WA|2666
Colwich, KS|16808
Colwyn, PA|6508
Comanche, OK|6129
Comanche, TX|14061
Combee Settlement, FL|15128
Combes, TX|16868
Combine, TX|9483
Combined Locks, WI|6246
Combs, AR|21984
Comer, GA|14874
Comfort, TX|14022
Comfrey, MN|19451
Commack, NY|1120
Commerce City, CO|895
Commerce Township, MI|12241
Commerce, CA|2261
Commerce, GA|14254
Commerce, OK|7379
Commerce, TX|3203
Commercial Point, OH|23576
Commercial Township, NJ|10826
Commiskey, IN|16564
Commodore, PA|22217
Como, MS|16120
Como, NC|18246
Como, WI|7032
Comptche, CA|23060
Compton, CA|152
Compton, IL|20199
Comstock Northwest, MI|15620
Comstock Park, MI|15594
Comstock Township, MI|13850
Comstock, MN|11568
Comstock, NE|21701
Comstock, WI|18597
Concho, AZ|9462
Conconully, WA|23429
Concord Township, OH|2032
Concord Township, PA|7608
Concord, AL|9360
Concord, AR|19413
Concord, CA|160
Concord, GA|15790
Concord, IL|21763
Concord, MA|1802
Concord, MI|17099
Concord, MO|1893
Concord, NC|260
Concord, NE|21544
Concord, NH|12113
Concord, NY|5029
Concord, VA|5519
Concord, VT|9033
Concordia, KS|13965
Concrete, WA|6908
Condon, MT|16845
Condon, OR|23772
Conemaugh Township, PA|4379
Conestoga Township, PA|5290
Conesus, NY|6597
Conesville, IA|20666
Conesville, NY|9270
Conesville, OH|20368
Conetoe, NC|11281
Conewago Township, PA|3534
Conewango, NY|7718
Confluence, PA|9342
Conger, MN|23061
Congers, NY|15603
Congerville, IL|22916
Congress, AZ|7064
Congress, OH|22955
Conifer, CO|4800
Conklin, MI|17158
Conklin, NY|5786
Conley, GA|13489
Conneaut Lake, PA|22164
Conneaut Lakeshore, PA|6687
Conneaut Township, PA|4881
Conneaut, OH|2537
Conneautville, PA|22199
Connell, WA|5356
Connellsville Township, PA|2906
Connelly Springs, NC|8030
Connelly, NY|22440
Connersville, IN|13402
Conning Towers-Nautilus Park, CT|3226
Connor, ME|24258
Conover, NC|4665
Conover, OH|10777
Conover, WI|8551
Conowingo, MD|6241
Conoy, PA|5388
Conquest, NY|7652
Conrad, IA|21221
Conrath, WI|19492
Conroe, TX|11821
Conshohocken, PA|2700
Constable, NY|8170
Constableville, NY|11179
Constantine, MI|15705
Continental, OH|10258
Contoocook, NH|16880
Converse, IN|16359
Converse, SC|22480
Converse, TX|12648
Convoy, OH|6029
Conway Springs, KS|24592
Conway, AR|332
Conway, FL|12753
Conway, MA|7540
Conway, NC|17896
Conway, NH|13166
Conway, PA|6992
Conway, SC|425
Conway, WA|23260
Conyers, GA|11913
Conyngham Township, PA|9922
Cook Township, PA|6781
Cook, MN|9040
Cook, NE|23829
Cooke, PA|9077
Cookeville, TN|12286
Cookson, OK|7402
Cooksville, IL|20492
Cooksville, MD|8936
Cool Ridge, WV|20865
Cool Valley, MO|7397
Cool, CA|5500
Cool, TX|10759
Coolbaugh, PA|1622
Cooleemee, NC|9823
Coolidge, AZ|2290
Coolidge, GA|17784
Coolin, ID|24275
Coolspring Township, PA|17129
Coolville, OH|5463
Coon Rapids, IA|18046
Coon Rapids, MN|439
Coon Valley, WI|17222
Cooper City, FL|12253
Cooper Township, MI|15592
Cooper Township, PA|17763
Cooper, ME|21860
Cooper, TX|17015
Coopersburg, PA|6788
Cooperstown, NY|7902
Cooperstown, PA|10795
Coopersville, MI|4955
Cooperton, OK|11705
Coopertown, TN|5374
Coos Bay, OR|1342
Coosada, AL|19246
Copake Lake, NY|11085
Copake, NY|8714
Copalis Beach, WA|11608
Copalis Crossing, WA|23371
Copan, OK|21000
Cope, CO|21570
Cope, SC|6334
Copemish, MI|18454
Copenhagen, NY|11108
Copiague, NY|1670
Coplay, PA|5771
Copley, OH|2195
Coppell, TX|920
Copper Canyon, TX|9463
Copper City, MI|23450
Copper Harbor, MI|22086
Copper Hill, VA|10878
Copperas Cove, TX|12233
Copperhill, TN|11425
Copperopolis, CA|7182
Coquille, OR|4175
Coral Gables, FL|12103
Coral Hills, MD|3454
Coral Springs, FL|11812
Coral Terrace, FL|12440
Coral, MI|17251
Coralville, IA|1847
Coram, NY|1699
Coraopolis, PA|4277
Corapeake, NC|9063
Corbett, OR|8058
Corbin City, NJ|10127
Corbin, KY|13369
Corcoran, CA|1207
Corcoran, MN|4311
Cord, AR|21760
Cordele, GA|13622
Cordesville, SC|9522
Cordova, AL|5327
Cordova, IL|17212
Cordova, MD|7021
Cordova, NE|23245
Cordova, SC|6453
Cordova, TN|3497
Corfu, NY|15554
Corinna, ME|18273
Corinth, GA|22442
Corinth, KY|18002
Corinth, ME|17713
Corinth, MS|12342
Corinth, TX|1952
Corinth, VT|8750
Corn, OK|10056
Cornelia, GA|13449
Cornelius, NC|1327
Cornelius, OR|3175
Cornell, IL|19495
Cornell, MI|19359
Cornell, WI|7605
Cornersville, TN|15457
Corning, AR|17284
Corning, CA|2838
Corning, IA|17706
Corning, OH|22932
Cornish, ME|18367
Cornish, NH|16818
Cornlea, NE|23658
Cornplanter Township, PA|17821
Cornucopia, WI|21417
Cornville, AZ|6025
Cornville, ME|18555
Cornwall on Hudson, NY|7776
Cornwall, CT|11382
Cornwall, NY|5541
Cornwall, PA|22415
Cornwall, VT|8692
Corolla, NC|9651
Corona de Tucson, AZ|8167
Corona, CA|64
Coronado, CA|1557
Corpus Christi, TX|11745
Corrales, NM|13194
Correctionville, IA|19086
Correll, MN|23773
Corrigan, TX|16273
Corry, PA|3880
Corryton, TN|2872
Corsica, PA|22578
Corsica, SD|24397
Corsicana, TX|13641
Corte Madera, CA|3240
Cortez, CO|2411
Cortez, FL|15839
Cortland West, NY|10444
Cortland, IL|14948
Cortland, NE|23372
Cortland, NY|1648
Cortland, OH|1904
Cortlandt Manor, NY|1895
Cortlandville, NY|5051
Corunna, MI|15624
Corvallis, MT|14217
Corvallis, OR|426
Corwin, OH|11089
Corwith, IA|20372
Corydon Township, PA|17799
Corydon, IA|19005
Corydon, IN|2275
Corydon, KY|22247
Cosby, TN|13207
Coshocton, OH|2205
Cosmopolis, WA|9073
Cosmos, MN|19502
Costa Mesa, CA|181
Cotati, CA|2770
Cotesfield, NE|23261
Coto de Caza, CA|2190
Cotopaxi, CO|8923
Cottage City, MD|8564
Cottage Grove, MN|903
Cottage Grove, OR|2079
Cottageville, SC|11508
Cottageville, WV|18212
Cotter, AR|15547
Cottleville, MO|3745
Cotton Plant, AR|11479
Cotton, MN|10500
Cottondale, AL|3081
Cottondale, FL|22274
Cottonport, LA|17317
Cottonwood Heights, UT|12234
Cottonwood, AL|6403
Cottonwood, AZ|1384
Cottonwood, CA|3023
Cottonwood, ID|24111
Cottonwood, MN|18279
Cottonwood, TX|22094
Cotulla, TX|24540
Couderay, WI|23629
Coudersport, PA|17798
Cougar, WA|9955
Coulee City, WA|9160
Coulee Dam, WA|11033
Coulter, IA|23774
Coulterville, CA|8951
Coulterville, IL|17711
Counce, TN|14391
Council Bluffs, IA|367
Council Grove, KS|14971
Council, ID|24760
Council, NC|19885
Country Club Hills, IL|12786
Country Club Hills, MO|8356
Country Club, CA|3942
Country Club, FL|12138
Country Homes, WA|4446
Country Knolls, NY|8818
Country Lake Estates, NJ|5847
Country Life Acres, MO|10787
Country Walk, FL|13446
Countryside, IL|13954
County Line, AL|21890
Coupeville, WA|4364
Courtdale, PA|9377
Courtland, AL|11137
Courtland, CA|10279
Courtland, MN|19245
Courtland, MS|16874
Courtland, VA|6278
Cove City, NC|18610
Cove Neck, NY|21112
Cove, AR|21212
Cove, OR|20113
Covedale, OH|5555
Covelo, CA|6627
Coventry, CT|2606
Coventry, NY|6484
Coventry, RI|958
Coventry, VT|11426
Covert, MI|18512
Covert, NY|15500
Covesville, VA|23577
Covina, CA|331
Covington Township, PA|7314
Covington, GA|11923
Covington, IN|16593
Covington, KY|878
Covington, LA|12190
Covington, MI|20555
Covington, NY|8112
Covington, OH|4267
Covington, OK|20552
Covington, TN|2112
Covington, VA|13429
Covington, WA|2007
Cowan, TN|16837
Cowanshannock Township, PA|16151
Coward, SC|6297
Cowarts, AL|8285
Cowden, IL|18711
Cowen, WV|23525
Coweta, OK|3928
Cowiche, WA|11544
Cowlington, OK|22657
Cowpens, SC|5547
Coxs Creek, KY|5267
Coy, AL|23732
Coy, AR|11660
Coyle, OK|10859
Coyne Center, IL|20343
Cozad, NE|4724
Crab Orchard, KY|17728
Crab Orchard, NE|23578
Crab Orchard, TN|16622
Crab Orchard, WV|19320
Crabtree, PA|22972
Crafton, PA|4154
Craftsbury, VT|18697
Cragsmoor, NY|11427
Craig Beach, OH|9043
Craig, CO|2538
Craig, IA|23877
Craig, NE|10589
Craigsville, VA|20688
Craigsville, WV|15770
Crainville, IL|18953
Cramerton, NC|7827
Cranberry Township, PA|1126
Cranberry, PA|4525
Cranbury Township, NJ|5358
Crandall, GA|17654
Crandall, TX|5838
Crandon Lakes, NJ|9921
Crandon, WI|14283
Crane Hill, AL|14339
Crane Lake, MN|10616
Crane, TX|24551
Cranesville, PA|10855
Cranfills Gap, TX|24172
Cranford, NJ|1402
Cranks, KY|23775
Cranston, RI|312
Crapo, MD|10742
Crawford Township, PA|19111
Crawford, CO|14896
Crawford, GA|16705
Crawford, NE|18726
Crawford, NY|3691
Crawford, TN|16869
Crawford, TX|16790
Crawfordsville, AR|22778
Crawfordsville, IA|22945
Crawfordsville, IN|12454
Crawfordville, FL|12479
Crawfordville, GA|22502
Crawley, WV|15263
Creal Springs, IL|22318
Creede, CO|14473
Creedmoor, NC|2445
Creekside, KY|21167
Creekside, PA|22910
Creighton, NE|22798
Creola, AL|10273
Creola, OH|23241
Crescent Beach, FL|14548
Crescent City, CA|1756
Crescent City, FL|14172
Crescent City, IL|21921
Crescent Lake, OR|22701
Crescent Mills, CA|22387
Crescent Springs, KY|7220
Crescent Valley, NV|21560
Crescent, IA|17206
Crescent, OK|10666
Crescent, OR|17002
Crescent, PA|6373
Cresco, IA|4350
Cressey, CA|11681
Cresskill, NJ|3208
Cresson Township, PA|4140
Cresson, TX|8975
Cressona, PA|16400
Crest Hill, IL|12822
Crested Butte, CO|5965
Crestline, CA|3893
Crestline, OH|4747
Creston, CA|11100
Creston, IA|17446
Creston, IL|23579
Creston, NC|18845
Creston, NE|22497
Creston, OH|4833
Creston, WA|20971
Crestone, CO|20958
Crestview Hills, KY|8575
Crestview, FL|12133
Crestview, KY|11047
Crestwood, IL|12944
Crestwood, KY|12750
Crestwood, MO|2647
Creswell, NC|18535
Creswell, OR|2916
Crete, IL|12766
Crete, NE|3502
Creve Coeur, IL|14751
Creve Coeur, MO|1725
Crewe, VA|17472
Criders, VA|20655
Cridersville, OH|9396
Crimora, VA|16388
Cripple Creek, CO|9355
Cripple Creek, VA|19327
Crisfield, MD|5162
Crittenden, KY|6450
Critz, VA|10053
Crivitz, WI|5809
Crocheron, MD|22298
Crockett, CA|7178
Crockett, TX|13791
Crockett, VA|9538
Crocketts Bluff, AR|21606
Crofton, KY|18401
Crofton, MD|1471
Crofton, NE|18609
Crompond, NY|24032
Cromwell Township, PA|18365
Cromwell, CT|2384
Cromwell, IN|17048
Cromwell, KY|18464
Cromwell, MN|20738
Cromwell, OK|21825
Crook, CO|10252
Crooks, SD|24678
Crookston, MN|15066
Crooksville, OH|5852
Cropsey, IL|21241
Crosby, MN|15812
Crosby, TX|12453
Cross City, FL|17756
Cross Creek Township, PA|8015
Cross Hill, SC|9752
Cross Junction, VA|6919
Cross Lake, MN|14418
Cross Lanes, WV|3179
Cross Mountain, TX|14206
Cross Plains, IN|24383
Cross Plains, TN|7484
Cross Roads, PA|10234
Cross Roads, TX|6695
Cross Timber, TX|11217
Cross, SC|5354
Crossett, AR|2615
Crossgate, KY|21469
Crossville, AL|4927
Crossville, TN|12099
Croswell, MI|14754
Crothersville, IN|16423
Croton-on-Hudson, NY|3352
Crouch, ID|24388
Crouse, NC|8243
Crowder, OK|22677
Crowley, LA|14627
Crowley, TX|3095
Crown City, OH|6479
Crown King, AZ|10799
Crown Point, IN|1421
Crown Point, NY|7093
Crownsville, MD|3670
Crows Landing, CA|10080
Croydon, NH|19177
Croydon, PA|3076
Croyle Township, PA|6661
Crozet, VA|5049
Crozier, VA|16729
Crum, WV|22647
Crump, TN|16969
Crumpler, NC|14989
Crystal City, MO|5320
Crystal City, TX|15884
Crystal Falls, MI|14935
Crystal Hill, VA|22328
Crystal Lake Park, MO|10583
Crystal Lake, FL|15215
Crystal Lake, IA|23651
Crystal Lake, IL|12143
Crystal River, FL|12780
Crystal Springs, FL|19793
Crystal Springs, MS|13813
Crystal, MI|15760
Crystal, MN|1445
Cub Run, KY|18282
Cuba City, WI|5351
Cuba, IL|17828
Cuba, MO|13104
Cubero, NM|24141
Cudahy, CA|1474
Cudahy, WI|1775
Cuero, TX|15876
Culbertson, NE|8233
Cullen, VA|19776
Culleoka, TN|15247
Cullman, AL|13060
Culloden, GA|19146
Culloden, WV|14276
Cullom, IL|15512
Cullowhee, NC|3448
Culpeper, VA|1333
Culver City, CA|897
Culver, IN|14258
Culver, OR|5928
Cumberland City, TN|24619
Cumberland Gap, TN|16321
Cumberland Head, NY|10522
Cumberland Township, PA|13957
Cumberland Valley Township, PA|18410
Cumberland, IA|20764
Cumberland, IN|16049
Cumberland, KY|17771
Cumberland, MD|754
Cumberland, ME|4432
Cumberland, OH|18459
Cumberland, RI|956
Cumberland, VA|17607
Cumberland, WI|5887
Cumings, TX|24056
Cumming, GA|11804
Cumming, IA|8919
Cummings, PA|21608
Cummington, MA|8830
Cumru Township, PA|2177
Cunningham, KY|19731
Cunningham, TN|16662
Cupertino, CA|537
Curlew, IA|21055
Curlew, WA|20197
Curran, IL|22095
Curran, MI|23671
Currie, MN|23262
Currie, NC|7537
Currituck, NC|11480
Curtice, OH|7554
Curtin Township, PA|18569
Curtis, NE|18657
Curtis, WA|10291
Curtiss, WI|19092
Curtisville, PA|9305
Curwensville, PA|7281
Cushing, IA|21457
Cushing, ME|18425
Cushing, MN|18725
Cushing, OK|2869
Cushing, WI|10013
Cushman, AR|21973
Cusick, WA|15573
Cusseta, AL|23426
Cusseta, GA|17603
Cussewago Township, PA|17901
Custar, OH|10023
Custer City, OK|20164
Custer, KY|23468
Custer, MI|18850
Custer, SD|14804
Custer, WA|5279
Custer, WI|18117
Cut Off, LA|17299
Cutchogue, NY|6354
Cuthbert, GA|21421
Cutler Bay, FL|12152
Cutler Ridge, FL|17719
Cutler, CA|4361
Cutler, IL|19585
Cutler, ME|24281
Cutler, OH|21578
Cutlerville, MI|15586
Cuyahoga Falls, OH|672
Cuyahoga Heights, OH|9623
Cuyler, NY|9247
Cuyuna, MN|20252
Cygnet, OH|8719
Cylinder, IA|20824
Cynthiana, KY|14692
Cypress Gardens, FL|13211
Cypress Lakes, FL|15496
Cypress, CA|742
Cypress, FL|23580
Cypress, TX|11820
Cyril, OK|18748
Cyrus, MN|20132
D Hanis, TX|24417
Dacoma, OK|23373
Dacono, CO|5405
Dacula, GA|12271
Dade City North, FL|16324
Dade City, FL|13989
Dadeville, AL|13173
Dafter, MI|23776
Daggett, CA|10343
Daggett, MI|20268
Dagsboro, DE|13524
Dahinda, IL|14940
Dahlgren, IL|22751
Dahlgren, VA|19402
Dahlonega, GA|12434
Dairy, OR|23121
Daisy, AR|22904
Daisy, GA|22356
Daisy, OK|21778
Daisytown, PA|21312
Dakota City, IA|21649
Dakota City, NE|7738
Dakota, MN|22170
Dalbo, MN|11680
Dale, IN|16787
Dale, PA|18660
Dale, WI|6171
Daleville, AL|4935
Daleville, IN|16932
Daleville, VA|11609
Dallas Center, IA|6984
Dallas City, IL|21870
Dallas Plantation, ME|21386
Dallas, GA|13533
Dallas, IA|15431
Dallas, NC|7150
Dallas, OR|1684
Dallas, PA|6153
Dallas, TX|7
Dallas, WI|19253
Dallas, WV|21769
Dallastown, PA|5302
Dallesport, WA|21603
Dalton City, IL|19100
Dalton Gardens, ID|24037
Dalton, GA|11904
Dalton, MA|3816
Dalton, MN|20246
Dalton, NE|19951
Dalton, NH|15480
Dalton, OH|5949
Dalton, PA|8117
Dalworthington Gardens, TX|7668
Daly City, CA|221
Dalzell, IL|21898
Dalzell, SC|6727
Damascus, AR|11027
Damascus, GA|22799
Damascus, MD|2545
Damascus, OR|3920
Damascus, PA|14195
Damascus, VA|7889
Dameron, MD|10646
Damiansville, IL|22758
Damon, TX|24060
Dana Point, CA|1197
Dana, IA|21453
Dana, IL|19640
Dana, IN|16463
Dana, KY|19316
Danbury, CT|301
Danbury, IA|20035
Danbury, NC|16655
Danbury, NE|21507
Danbury, NH|16609
Danbury, TX|24062
Danbury, WI|6440
Danby, NY|4743
Danby, VT|18390
Dandridge, TN|2734
Danforth, IL|19847
Dania Beach, FL|12282
Daniels, WV|13534
Danielson, CT|6212
Danielsville, GA|21665
Dannebrog, NE|19396
Dansville, MI|16198
Dansville, NY|4753
Dante, VA|23170
Danube, MN|20975
Danube, NY|18990
Danvers, IL|16771
Danvers, MA|1183
Danvers, MN|20066
Danville, AL|5089
Danville, AR|20890
Danville, CA|641
Danville, GA|22381
Danville, IA|10573
Danville, IL|12128
Danville, IN|12694
Danville, KY|12462
Danville, NH|15218
Danville, OH|23736
Danville, PA|4723
Danville, VA|523
Danville, VT|18003
Danville, WA|21573
Danville, WV|15657
Daphne, AL|1579
Darby Township, PA|1639
Darby, MT|14462
Darbyville, OH|11293
Dardanelle, AR|14315
Darden, TN|16668
Dardenne Prairie, MO|2179
Darfur, MN|23374
Darien, CT|1646
Darien, GA|13506
Darien, IL|12471
Darien, NY|5811
Darlington Township, PA|6681
Darlington, IN|16809
Darlington, MD|5707
Darlington, SC|1180
Darlington, WI|17579
Darmstadt, IN|8827
Darnestown, MD|3779
Darrington, WA|11338
Dartmouth, MA|1539
Darwin, CA|22987
Darwin, MN|19797
Dasher, GA|19269
Dassel, MN|11569
Dateland, AZ|20610
Datto, AR|23263
Daugherty Township, PA|16087
Dauphin Island, AL|10124
Dauphin, PA|19366
Davenport, CA|9995
Davenport, FL|12992
Davenport, IA|204
Davenport, ND|24187
Davenport, NE|21562
Davenport, NY|5998
Davenport, OK|10039
Davenport, WA|17539
Davey, NE|10006
David City, NE|22216
Davidson Township, PA|17243
Davidson, NC|2693
Davidson, OK|10328
Davidsonville, MD|3364
Davidsville, PA|19283
Davie, FL|11857
Davis City, IA|23853
Davis Creek, CA|21619
Davis Junction, IL|17729
Davis, CA|509
Davis, IL|14914
Davis, NC|11020
Davis, OK|5788
Davis, WV|13574
Davisboro, GA|23777
Davison, MI|12263
Daviston, AL|22050
Davisville, WV|7765
Dawson Springs, KY|17512
Dawson, AL|23560
Dawson, GA|17781
Dawson, IA|11339
Dawson, IL|17229
Dawson, MN|17937
Dawson, NE|21374
Dawson, PA|23653
Dawsonville, GA|12490
Day, FL|22591
Day, NY|9323
Daykin, NE|21293
Days Creek, OR|11661
Dayton Lakes, TX|24367
Dayton, IA|18427
Dayton, KY|4310
Dayton, MD|6592
Dayton, ME|17972
Dayton, MN|5228
Dayton, NJ|4524
Dayton, NV|2496
Dayton, NY|11340
Dayton, OH|130
Dayton, OR|5520
Dayton, PA|22860
Dayton, TN|12688
Dayton, TX|12339
Dayton, VA|5146
Dayton, WA|14978
Daytona Beach Shores, FL|13308
Daytona Beach, FL|11965
De Beque, CO|9383
De Forest, WI|7028
De Graff, MN|23581
De Graff, OH|6045
De Kalb, NY|6752
De Kalb, TX|15969
De Land, IL|19532
De Leon Springs, FL|13888
De Leon, TX|16341
De Peyster, NY|20999
De Queen, AR|15085
De Soto, GA|19521
De Soto, IA|9713
De Soto, IL|22320
De Soto, KS|15494
De Soto, MO|1569
De Soto, WI|18997
De Tour Village, MI|14977
De Valls Bluff, AR|18957
De Witt, AR|15287
De Witt, IA|5696
De Witt, IL|20440
De Witt, NE|18673
De Witt, NY|1404
DeMotte, IN|9313
Deadwood, OR|21530
Deadwood, SD|14946
Deal Island, MD|10353
Deal, NJ|9004
Deale, MD|7773
Dean Township, PA|19744
Dearborn Heights, MI|12000
Dearborn, MI|11850
Dearborn, MO|24081
Dearing, GA|16040
Deary, ID|24106
Deatsville, AL|3375
Debary, FL|12595
Decatur, AL|649
Decatur, AR|11679
Decatur, GA|12590
Decatur, IA|22081
Decatur, IL|11881
Decatur, IN|13626
Decatur, MI|14799
Decatur, MS|16113
Decatur, NE|20837
Decatur, NY|10011
Decatur, PA|4770
Decatur, TN|14272
Decatur, TX|2336
Decaturville, TN|23956
Decherd, TN|16279
Decker, MI|20014
Deckerville, MI|18110
Decorah, IA|17519
Dedham, IA|21144
Dedham, MA|1295
Dedham, ME|18079
Deemston, PA|9205
Deep Gap, NC|11610
Deep River, CT|4750
Deep River, IA|11611
Deep Run, NC|6921
Deephaven, MN|5970
Deepstep, GA|23522
Deer Creek Township, PA|20001
Deer Creek, IL|16546
Deer Creek, MN|20074
Deer Creek, OK|21848
Deer Creek, WI|8974
Deer Grove, IL|20875
Deer Island, OR|24117
Deer Lake, PA|22330
Deer Lodge, TN|16741
Deer Park, IL|14387
Deer Park, MD|10801
Deer Park, NY|1382
Deer Park, OH|4635
Deer Park, TX|12292
Deer Park, WA|2819
Deer Park, WI|18433
Deer River, MN|22297
Deer Trail, CO|9405
Deer, AR|23830
Deerbrook, WI|14985
Deerfield Beach, FL|12019
Deerfield Township, NJ|7514
Deerfield Township, PA|20445
Deerfield, IL|12621
Deerfield, MA|11428
Deerfield, MI|16688
Deerfield, NH|15249
Deerfield, NY|4978
Deerfield, OH|6798
Deerfield, PA|19614
Deerfield, VA|19738
Deering, NH|16433
Deerpark, NY|3428
Deerton, MI|20611
Deerwood, MN|14322
Deferiet, NY|21696
Defiance, IA|21043
Defiance, OH|3018
Deford, MI|17216
Defuniak Springs, FL|14301
Dekalb, IL|12112
Del City, OK|1512
Del Mar, CA|5430
Del Monte Forest, CA|5197
Del Norte, CO|14327
Del Rey Oaks, CA|7394
Del Rey, CA|6642
Del Rio, TN|24751
Del Rio, TX|12108
Delanco, NJ|4872
Deland, FL|12001
Delano Township, PA|19761
Delano, CA|526
Delano, MN|6250
Delano, TN|8950
Delanson, NY|10888
Delaplane, VA|9252
Delavan, IL|16660
Delavan, MN|20963
Delaware City, DE|7014
Delaware Township, NJ|4793
Delaware Township, PA|17075
Delaware Water Gap, PA|10147
Delaware, AR|19514
Delaware, IA|23062
Delaware, NY|6317
Delaware, OH|664
Delaware, OK|10036
Delaware, PA|13073
Delbarton, WV|15090
Delcambre, LA|16523
Delco, NC|18255
Delhi Township, MI|12714
Delhi, CA|2536
Delhi, IA|9051
Delhi, LA|17323
Delhi, MN|23672
Delight, AR|23469
Dell Rapids, SD|24536
Dellroy, OH|9059
Dellwood, MN|9919
Dellwood, MO|4888
Delmar, DE|4807
Delmar, IA|11299
Delmar, MD|4160
Delmar, PA|6021
Delmont, PA|6749
Deloit, IA|21987
Delphi, IN|15925
Delphos, OH|3440
Delran, NJ|1871
Delray Beach, FL|12032
Delta Township, MI|12865
Delta, AL|20051
Delta, CO|2574
Delta, IA|20425
Delta, OH|3558
Delta, PA|9531
Delta, UT|17382
Deltaville, VA|6835
Delton, MI|14255
Deltona, FL|11936
Dema, KY|21202
Demarest, NJ|4604
Deming, NM|12438
Deming, WA|8770
Demopolis, AL|15101
Demorest, GA|14307
Demossville, KY|7546
Denair, CA|3703
Dendron, VA|23425
Denham Springs, LA|11966
Denham, MN|22906
Denison, IA|3001
Denison, TX|12244
Denmark, NY|6799
Denmark, SC|16621
Denmark, TN|10390
Denmark, WI|10732
Dennard, AR|21286
Denning, AR|22037
Denning, NY|9821
Dennis Township, NJ|3955
Dennis, MA|2217
Dennison Township, PA|8400
Dennison, IL|19751
Dennison, MN|10462
Dennison, OH|6268
Dent, MN|15455
Dent, OH|3635
Denton, GA|20296
Denton, KY|23582
Denton, MD|3090
Denton, NC|3559
Denton, NE|8826
Denton, TX|173
Dentsville, SC|15045
Denver, CO|17
Denver, IA|17780
Denver, IN|16925
Denver, NC|2058
Denver, PA|3682
Denville, NJ|1903
Depauville, NY|9889
Depauw, IN|16166
Depew, NY|2033
Depew, OK|11161
Depoe Bay, OR|7560
Deptford Township, NJ|1162
Depue, IL|19808
Dequincy, LA|24467
Derby Center, VT|22017
Derby Line, VT|21118
Derby, CO|6629
Derby, CT|2644
Derby, IA|23264
Derby, KS|12333
Derby, VT|4985
Deridder, LA|14183
Dering Harbor, NY|22765
Dermott, AR|19151
Derry Township, PA|2135
Derry, NH|12219
Derwood, MD|2280
Des Allemands, LA|16471
Des Arc, AR|17807
Des Moines, IA|85
Des Moines, WA|1217
Des Peres, MO|3296
Des Plaines, IL|11981
Descanso, CA|8000
Desert Center, CA|10493
Desert Hot Springs, CA|706
Desha, AR|10471
Deshler, NE|21200
Deshler, OH|6122
Desloge, MO|14142
Desoto Lakes, FL|15232
Desoto, TX|700
Despard, WV|8621
Destin, FL|12853
Destrehan, LA|14655
Detroit Beach, MI|15747
Detroit Lakes, MN|2169
Detroit, AL|20230
Detroit, ME|19232
Detroit, MI|11735
Detroit, OR|11429
Devens, MA|8207
Deville, LA|17296
Devils Lake, ND|14678
Devine, TX|15888
Devol, OK|20078
Deweese, NE|20630
Dewey Beach, DE|14981
Dewey, IL|19577
Dewey, OK|14162
Dewey-Humboldt, AZ|8424
Deweyville, UT|24211
Dewitt Township, MI|12546
Dewitt, VA|18993
Dewy Rose, GA|17007
Dexter City, OH|20814
Dexter, GA|18594
Dexter, IA|7338
Dexter, KY|18399
Dexter, MI|12808
Dexter, MN|21327
Dexter, MO|13772
Dexter, NM|24688
Dexter, NY|10916
Dexter, OR|19286
Diablo, CA|7923
Diagonal, IA|19850
Diamond Bar, CA|692
Diamond Beach, NJ|11702
Diamond City, AR|21383
Diamond Springs, CA|5449
Diamond, IL|18408
Diamond, OH|9908
Diamondhead, MS|13022
Diana, NY|7944
Diana, TX|14835
Diaz, AR|19051
Dibble, OK|21642
Diberville, MS|13796
Diboll, TX|24504
Dickens, IA|21044
Dickens, NE|22218
Dickerson, MD|8595
Dickeyville, WI|22132
Dickinson Township, PA|4427
Dickinson, ND|13406
Dickinson, NY|5618
Dickinson, TX|12827
Dickson City, PA|6062
Dickson, OK|9711
Dickson, TN|1417
Dicksonville, PA|22071
Dierks, AR|18256
Dieterich, IL|16667
Diggs, VA|21579
Dighton, MA|6578
Dike, IA|20087
Dill City, OK|6389
Dillard, GA|21754
Diller, NE|20869
Dilley, TX|16102
Dillon Beach, CA|11092
Dillon, CO|19767
Dillon, MT|13995
Dillon, SC|2132
Dillonvale, OH|5921
Dillsboro, IN|8760
Dillsboro, NC|10881
Dillsburg, PA|6581
Dillwyn, VA|17465
